file,category,doi,title,authors,year,venue,source,size_bytes,sha256
"papers/Enabling_Privacy_Preserving_External_Sharing_of_Electronic_Medical_Records_Through_a_Tripartite_Hybrid_Bl.pdf","supplemental_related_oa","10.38094/jastt7031075","Enabling Privacy-Preserving External Sharing of Electronic Medical Records Through a Tripartite Hybrid Blockchain Architecture","Mohammed Yousif; Omar Alsaffar; Siddeeq Ameen","2026","Journal of Applied Science and Technology Trends","related OA search","886133","886e33d37d748d406c7dfc8cfcefa1fd70d5b35d213f6889885278a79d85364f"
"papers/Enhancing_Electronic_Medical_Records_Privacy_in_Tanzania_A_blockchain_based_framework.pdf","supplemental_related_oa","10.61538/huria.v33i2.2111","Enhancing Electronic Medical Records Privacy in Tanzania: A blockchain-based framework","Happyness Hurdson; Juliana Kamaghe","2026","HURIA JOURNAL OF THE OPEN UNIVERSITY OF TANZANIA","related OA search","505350","b3aca39cba65f7ed99373428ddb0fd272c6ea2df95596d3a2c898b41f5cc0111"
"papers/Evaluation_of_Scalability_and_Resilience_of_Hyperledger_Fabric_in_Blockchain_Implementation_for_Diploma_M.pdf","supplemental_related_oa","10.30871/jaic.v9i3.9262","Evaluation of Scalability and Resilience of Hyperledger Fabric in Blockchain Implementation for Diploma Management","Cahyani Pebriyanti; Galura Muhammad Suranegara","2025","Journal of Applied Informatics and Computing","related OA search","1182082","8d25f9920dad21c664d325c4182f2ccb0bd6e12a85acefe9e4fb9ae406f546ba"
"papers/Evolution_of_Healthcare_Economics_Blockchain_Integration_Amidst_Medicare_Reform.pdf","supplemental_related_oa","","Evolution of Healthcare Economics Blockchain Integration Amidst Medicare Reform","","","","related OA search","482144","26d7de632682c4ac551dfeaa786555d99cc5ed07f3fc41494906a61b71808eda"
"papers/Experimental_Evaluation_of_LoRaWAN_Connectivity_Reliability_in_Remote_Rural_Areas_of_Mozambique.pdf","reference_bib","10.3390/s25196027","Experimental Evaluation of LoRaWAN Connectivity Reliability in Remote Rural Areas of Mozambique","Chapungo, Nelson Jos\'e and Postolache, Octavian","2025","Sensors","chapungo2025lorawan","4914624","8c730595edbe0e023621869e415c84ccc379f1ff9f447549ac695cc0ff749591"
"papers/Experimental_Performance_Analysis_of_a_Scalable_Distributed_Hyperledger_Fabric_for_a_Large_Scale_IoT_Testbed.pdf","reference_bib","10.3390/s22134868","Experimental Performance Analysis of a Scalable Distributed Hyperledger Fabric for a Large-Scale IoT Testbed","Pajooh, Houshyar Honar and Rashid, Mohammad A. and Alam, Fakhrul and Demidenko, Serge","2022","Sensors","tar2023fabric","3934618","59b2959a17a2304ef76f681f120919cd39a2e53a6472c3df3573d09ca1e036e5"
"papers/Experimental_Performance_Comparison_of_Proactive_Routing_Protocols_in_Wireless_Mesh_Network_Using_Raspber.pdf","reference_bib","10.3390/telecom5040051","Experimental Performance Comparison of Proactive Routing Protocols in Wireless Mesh Network Using Raspberry Pi 4","Turlykozhayeva, Dana and Temesheva, S. and Ussipov, N. and Baigaliyeva, A.","2024","Telecom","turlykozhayeva2024proactive","1564386","fd57f390b2be55c36bf200ab58a94e6e363ee4ac83f524f4558c7e35b450fbf8"
"papers/Exploring_security_threats_and_solutions_Techniques_for_Internet_of_Things_IoT_from_vulnerabilities_to_vigilan.pdf","prior_related","10.3389/frai.2024.1397480","Exploring security threats and solutions Techniques for Internet of Things (IoT): from vulnerabilities to vigilance","Swastik Kumar Sahu; Kaushik Mazumdar","2024","Frontiers in Artificial Intelligence","Recommended via topic search: Chinese remainder theorem blockchain cryptography","1396437","9c1a883299c79748f30666d6cc5506bc299331a5a0763f8c2c849024d9d96db5"
"papers/Fertilizers_for_Tomato.pdf","reference_bib","10.1007/s11356-020-10461-4","Fertilizers for Tomato","ICL Growing Solutions","2023","""""","iclTomato","868200","0f3a25cad30f4f981dfbc2c04b6167f22f16a3b8f7bdaaf642c4972c75feb745"
"papers/Fit_for_purpose_challenges_and_opportunities_for_applications_of_blockchain_technology_in_the_future_of_health.pdf","cited_in_manuscripts","10.1186/s12916-019-1296-7","‘Fit-for-purpose?’ – challenges and opportunities for applications of blockchain technology in the future of healthcare","Tim K. Mackey; Tsung-Ting Kuo; Basker Gummadi; Kevin A. Clauson; George Church; Dennis Grishin; Kamal Obbad; Robert Barkovich; Maria Palombini","2019","BMC Medicine","Enhancing_Bitcoin_Scalability_through_Parallel_Programming_and_Chinese","2960659","91056c906e87d3d052a745e82eaa35df6fb553ee19efb5e78896dc9ccdf0f644"
"papers/Framework_for_Enhancing_Interoperability_Data_Exchange_and_Security_in_Healthcare_through_Blockchain_Tech.pdf","supplemental_related_oa","","Framework for Enhancing Interoperability Data Exchange and Security in Healthcare through Blockchain Tech","","","","related OA search","596757","04ae8d16b2691057620fc9cbe56fdfb8abf8937adb745cdf0df0fcac72387710"
"papers/GAHBT_Genetic_Based_Hashing_Algorithm_for_Managing_and_Validating_Health_Data_Integrity_in_Blockchain_Tec.pdf","supplemental_related_oa","","GAHBT Genetic Based Hashing Algorithm for Managing and Validating Health Data Integrity in Blockchain Tec","","","","related OA search","1079937","22e68f1ec7db239554135487a476bbc588a5b37c66c6293091cf237386a6f86a"
"papers/GPT_Generative_Pre_Trained_Transformer_A_Comprehensive_Review_on_Enabling_Technologies_Potential_Applications_.pdf","prior_related","10.1109/access.2024.3389497","GPT (Generative Pre-Trained Transformer)— A Comprehensive Review on Enabling Technologies, Potential Applications, Emerging Challenges, and Future Directions","Gokul Yenduri; M. Ramalingam; G. Chemmalar Selvi; Y. Supriya; Gautam Srivastava; Praveen Kumar Reddy Maddikunta; G. Deepti Raj; Rutvij H. Jhaveri; B. Prabadevi; Weizheng Wang; Athanasios V. Vasilakos; Thippa Reddy Gadekallu","2024","IEEE Access","Recommended via topic search: blockchain healthcare electronic health records privacy","4056606","fdad837feb4397d2238772a89962347f3735bda09f35b9b8c7546b663e5344fd"
"papers/HYBRIDIZING_HENSEL_S_LEMMA_FUNDAMENTAL_THEOREM_OF_ARITHMETIC_AND_CHINESE_REMAINDER_THEOREM_FOR_SOLVING_PO.pdf","supplemental_related_oa","10.30598/barekengvol20iss1pp0853-0864","HYBRIDIZING HENSEL’S LEMMA, FUNDAMENTAL THEOREM OF ARITHMETIC, AND CHINESE REMAINDER THEOREM FOR SOLVING POLYNOMIAL CONGRUENCES","Eka Oktaviansyah; Edi Kurniadi; Dianne Amor Kusuma","2025","BAREKENG: Jurnal Ilmu Matematika dan Terapan","related OA search","517974","6c711b406d89007357566a4842589a75045e5158ecc07fee871a4a0deacfe7d3"
"papers/Harnessing_Blockchain_to_Transform_Healthcare_Data_Management.pdf","supplemental_related_oa","","Harnessing Blockchain to Transform Healthcare Data Management","","","","related OA search","778302","c6e734c3fa431a4c5b8bd4dc79a0d3e6ad7604259626857e14286f32f9d32013"
"papers/Healthcare_Data_Provenance_Using_Distributed_Ledger_Systems.pdf","supplemental_related_oa","","Healthcare Data Provenance Using Distributed Ledger Systems","","","","related OA search","1187777","97332d98980a2b602c6ad3de984ffdca23a6f33d5a968a21a35f3dc941a12584"
"papers/Hybrid_Blockchain_and_Internet_of_Things_Network_for_Underground_Structure_Health_Monitoring.pdf","cited_in_manuscripts","10.3390/s18124268","Hybrid Blockchain and Internet-of-Things Network for Underground Structure Health Monitoring","Byung Wan Jo; Rana Muhammad Asad Khan; Yun-Sung Lee","2018","Sensors","Enhancing_Bitcoin_Scalability_through_Parallel_Programming_and_Chinese","3122102","5b8a858520490782cc818338dc3fe49b5767c22886e50f6460c9e8da5d42fb97"
"papers/Hyperledger_frameworks_with_a_special_focus_on_Hyperledger_Fabric.pdf","supplemental_related_oa","10.5937/vojtehg68-26206","Hyperledger frameworks with a special focus on Hyperledger Fabric","Marija Krstić; Lazar Krstić","2020","Vojnotehnicki glasnik","related OA search","619635","9824d49fe7c4bc01c3d899eb22357d6dcd953ebbf74a0b98b8efeeecbc3dbd59"
"papers/Improved_DAG_in_blockchain_tangle_for_IOTA.pdf","supplemental_related_oa","","Improved DAG in blockchain tangle for IOTA","","","","related OA search","555803","db5916974c551784c38d8f39b46b323cdb7663db3b0a42e886eb280da7e219ac"
"papers/Improving_End_to_End_Traceability_and_Pharma_Supply_Chain_Resilience_with_Blockchain.pdf","supplemental_related_oa","","Improving End to End Traceability and Pharma Supply Chain Resilience with Blockchain","","","","related OA search","2411706","c079545438847ea9e17fa7e24866b4f7d64e712f8c159f43769237b95be9d835"
"papers/Innovative_Blockchain_Based_Approach_for_Sustainable_and_Credible_Environment_in_Food_Trade_A_Case_Study_.pdf","reference_bib","10.3390/su10093149","Innovative Blockchain-Based Approach for Sustainable and Credible Environment in Food Trade: A Case Study in Shandong Province, China","Mao, Dandan and Hao, Zhenning and Wang, Fan and Li, Hao","2018","Sustainability","cui2023ipfsFabric","4151334","7ff9b965db483c64db33aef0a2fe07dde9f508255357866a75c1a0a3785f33e5"
"papers/Integrasi_Blockchain_Hyperledger_Fabric_dan_ERP_untuk_Autentikasi_Kain_Tapis_Lampung.pdf","supplemental_related_oa","10.59025/f8d91baf","Integrasi Blockchain Hyperledger Fabric dan ERP untuk Autentikasi Kain Tapis Lampung","Panji Andhika Pratomo; Tri Sandhika Jaya","2024","Journal of Technology and Data Science","related OA search","571365","a9d538eda67077d9a307eaec62b3c6cd010e270a1a02cb560e5fb2d231f88c09"
"papers/IoT_Based_Smart_Irrigation_Systems_An_Overview_on_the_Recent_Trends_on_Sensors_and_IoT_Systems_for_Irriga.pdf","reference_bib","10.3390/s20041042","IoT-Based Smart Irrigation Systems: An Overview on the Recent Trends on Sensors and IoT Systems for Irrigation in Precision Agriculture","Garc\'ia, Laura and Parra, Lorena and Jimenez, Jose M. and Lloret, Jaime and Lorenz, Pascal","2020","Sensors","singh2019iotSmartIrrigation","7921970","3501de7da32a978575cd36799b49e2952478dfe9ff93216ab34d3684e8e5da92"
"papers/IoT_based_eHealth_using_blockchain_technology_a_survey.pdf","prior_related","10.1007/s10586-024-04357-y","IoT-based eHealth using blockchain technology: a survey","Aya H. Allam; Ibrahim Gomaa; Hala H. Zayed; Mohamed Taha","2024","Cluster Computing","Recommended via topic search: Chinese remainder theorem blockchain cryptography","1756713","6bca735d457bbf25d6dd3660865b34dc4db72e273f10529b7dcaa9d2347ecde7"
"papers/Low_Cost_IoT_Based_Soil_Monitoring_System_Design_and_Accuracy_Assessment.pdf","reference_bib","10.3390/s21237964","Low-Cost IoT-Based Soil Monitoring System: Design and Accuracy Assessment","Molina-Cuevas, Alexander and Quijano-Velasco, William and Guerrero-Gonz\'alez, Antonio","2021","Sensors","agri2024sensorAccuracy","6268979","88f94f2d79dfe0f9537c144c2df340112d758633315747dcdbad80939af90e31"
"papers/Multi_blockchain_architecture_for_judicial_case_management_using_smart_contracts.pdf","cited_in_manuscripts","10.1038/s41598-025-92842-8","Multi blockchain architecture for judicial case management using smart contracts","Tahir Alyas; Qaiser Abbas; Sadia Niazi; Saad Said Alqahtany; Turki Alghamdi; Ali Alzahrani; Nadia Tabassum; Aidarus Mohamed Ibrahim","2025","Scientific Reports","Enhancing_Bitcoin_Scalability_through_Parallel_Programming_and_Chinese","2109069","4edfcb364e402590141a30de07aa2df5ea40c18951a21e8447c2e9371afc71b8"
"papers/Natural_Frequencies_Identification_by_FEM_Applied_to_a_2_DOF_Planar_Robot_and_Its_Validation_Using_MUSIC_Algor.pdf","reference_bib","10.3390/s21041209","Energy-efficient data transmission in wireless sensor networks for precision agriculture","Sanchez, Sergio and Blanc, Sylvie and Yuste, Pedro and Serrano, Juan J.","2021","Sensors","sanchez2021energy","4107528","dbfc23686cc736b81fc76ed2713bc32d2a529a362ff57c3f62a246f7e31b6262"
"papers/Optimal_blocks_for_maximizing_the_transaction_fee_revenue_of_Bitcoin_miners.pdf","cited_in_manuscripts","10.1007/s10878-024-01249-0","Optimal blocks for maximizing the transaction fee revenue of Bitcoin miners","Mohsen Alambardar Meybodi; Amir Goharshady; Mohammad Reza Hooshmandasl; Ali Shakiba","2024","Journal of Combinatorial Optimization","Enhancing_Bitcoin_Scalability_through_Parallel_Programming_and_Chinese","963837","57e57c379f1bbb49436a332e95e76ca03a37be5b0a6ff2298c12cf4e0dce7877"
"papers/Optimizing_Proof_of_Work_for_Secure_Health_Data_Blockchain_Using_Compute_Unified_Device_Architecture.pdf","supplemental_related_oa","","Optimizing Proof of Work for Secure Health Data Blockchain Using Compute Unified Device Architecture","","","","related OA search","1039539","2dd486cc04afc3a2a87cd6003e7f20e892a537af7691c5462c955deea7b8d4b8"
"papers/Performance_Benchmarking_and_Optimizing_Hyperledger_Fabric_Blockchain_Platform.pdf","reference_bib","10.1109/mascots.2018.00034","Performance Benchmarking and Optimizing Hyperledger Fabric Blockchain Platform","Thakkar, Parth and Nathan, Senthil and Vishwanathan, Balaji","2018","2018 IEEE 26th International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems (MASCOTS)","dube2024fabricIrrigation","1080777","b68ff2dc07300d4054365b0718932c9018f16747db56f414e408cda9b8cab80c"
"papers/Performance_Benchmarking_of_Hyperledger_Fabric_on_Heterogeneous_Hardware_for_IoT_Applications.pdf","supplemental_related_oa","10.31436/iiumej.v26i3.3610","Performance Benchmarking of Hyperledger Fabric on Heterogeneous Hardware for IoT Applications","Muhammad Muaz Zulkarnain; Nabilah Ramli; Anis Nurashikin Nordin","2025","IIUM Engineering Journal","related OA search","1506189","caed38678c02dfc3ff6071808d8658297e0d34f510ae5016890a9080556ea1a3"
"papers/Performance_Comparison_of_Blockchain_Platforms_for_Modeling_Financial_Transactions_A_Case_Study_of_Ethere.pdf","supplemental_related_oa","10.56225/ijfeb.v4i1.423","Performance Comparison of Blockchain Platforms for Modeling Financial Transactions: A Case Study of Ethereum and Hyperledger Fabric","Dennis Deladem Kwadzode","2025","International Journal of Finance, Economics and Business","related OA search","712134","473dd9944ebd68322490e3cc0bb769e75415176c708df84f1fd9e73044fb87fc"
"papers/Precision_Agriculture_and_Food_Security.pdf","reference_bib","10.1126/science.1183899","Precision agriculture and food security","Gebbers, Robin and Adamchuk, Viacheslav I.","2010","Science","gebbers2010precision","319803","b91ed7a486d7f54f2f766587a05e0b5ef7540e6837b92412927dd3d3c26f467d"
"papers/Privacy_Conflict_Resolution_for_Integrating_Personal_and_Electronic_Health_Records_in_Blockchain_Based_Sy.pdf","supplemental_related_oa","10.30953/bhty.v6.276","Privacy-Conflict Resolution for Integrating Personal- and Electronic Health Records in Blockchain-Based Systems","Aleksandr Kormiltsyn; Vimal Dwivedi; Chibuzor Udokwu; Alex Norta","2023","Blockchain in Healthcare Today","related OA search","5138153","7bb16ef80c84b2a9a87843891819dd67303682939d4e3e88fd15f4acba09c669"
"papers/Research_and_application_of_Chinese_remainder_theorem.pdf","cited_in_manuscripts","10.54254/2753-8818/9/20240711","Research and application of Chinese remainder theorem","Qinnan Luo","2023","Theoretical and Natural Science","Enhancing_Bitcoin_Scalability_through_Parallel_Programming_and_Chinese","2277244","75b16709815fe6e6b16c95fa56bc723c51378a2a49451989d5972a6bee5d534f"
"papers/Reversible_data_hiding_in_encrypted_images_using_chaos_theory_and_Chinese_Remainder_Theorem.pdf","supplemental_related_oa","10.1007/s10044-025-01495-w","Reversible data hiding in encrypted images using chaos theory and Chinese Remainder Theorem","Erdem Yavuz","2025","Pattern Analysis and Applications","related OA search","10518606","65fb0ddbca20ef1cce0275641a0fe3742cd36bbd13d4031c91823c7d68deefe6"
"papers/Scalability_Performance_Analysis_of_Blockchain_Using_Hierarchical_Model_in_Healthcare.pdf","supplemental_related_oa","10.30953/bhty.v7.295","Scalability Performance Analysis of Blockchain Using Hierarchical Model in Healthcare","Lipsa Sadath, MSc, MCA; Deepti Mehrotra; Anand Kumar","2024","Blockchain in Healthcare Today","related OA search","2765111","de6501664276e045d5f4f24c51e7938626777ace76ae59635422abfe4ccba1bc"
"papers/Scalability_Solutions_in_Blockchain_Supported_Manufacturing_A_Survey.pdf","supplemental_related_oa","","Scalability Solutions in Blockchain Supported Manufacturing A Survey","","","","related OA search","1240552","35adc2b1e89d3f0e5662d497e58dc9abf15fc7e28133205c3c32114759ed78fb"
"papers/Security_and_Privacy_for_Green_IoT_Based_Agriculture_Review_Blockchain_Solutions_and_Challenges.pdf","reference_bib","10.1109/access.2020.2973178","Security and Privacy for Green IoT-Based Agriculture: Review, Blockchain Solutions, and Challenges","Ferrag, Mohamed Amine and Shu, Lei and Yang, Xianjun and Derhab, Abdelouahid and Maglaras, Leandros","2020","IEEE Access","perez2022iotBlockchainCase","6150153","c61d79d16a31152b89c7f5c52ee1d258ad7810e9f04ea02a2a7090acd0f8ecb7"
"papers/Security_of_the_Secp256k1_Elliptic_Curve_used_in_the_Bitcoin_Blockchain.pdf","cited_in_manuscripts","10.54105/ijcns.a1426.04010524","Security of the Secp256k1 Elliptic Curve used in the Bitcoin Blockchain","; Dr. Kannan Balasubramanian","2024","Indian Journal of Cryptography and Network Security","Enhancing_Bitcoin_Scalability_through_Parallel_Programming_and_Chinese","323370","86cfb5055a26ac4a3431d9f1d1bc06ff4d54de74bf4e241ab2db7c04959d2296"
"papers/Segmenting_Bitcoin_Transactions_for_Price_Movement_Prediction.pdf","cited_in_manuscripts","10.3390/jrfm17030128","Segmenting Bitcoin Transactions for Price Movement Prediction","Yuxin Zhang; Rajiv Garg; Linda L. Golden; Patrick L. Brockett; Ajit Sharma","2024","Journal of Risk and Financial Management","Enhancing_Bitcoin_Scalability_through_Parallel_Programming_and_Chinese","805097","9907690ccc939676a16dfe2358db03dce3c9c073efc0a9ba496311d5030374fb"
"papers/Smart_Sensors_and_Smart_Data_for_Precision_Agriculture_A_Review.pdf","prior_related","10.3390/s24082647","Smart Sensors and Smart Data for Precision Agriculture: A Review","Abdellatif Soussi; Enrico Zero; Roberto Sacile; Daniele Trinchero; Marco Fossa","2024","Sensors","Recommended via topic search: blockchain smart agriculture IoT traceability","2290465","3afb61e668ef670eff8ea85cef1bf2c35e7a66582f3215b8dbeda33c7f9b9dd4"
"papers/Smart_agriculture_5_0_blockchain_and_reinforcement_learning_synergy_for_multicropping_optimization_and_tr.pdf","reference_bib","10.3389/fbloc.2026.1766232","Smart agriculture 5.0: blockchain and reinforcement learning synergy for multicropping optimization and traceable IoT-enabled supply chains","Jagan Mohan, R. N. V. and Rayanoothala, P. S. Pravallika Sree and Praneetha Sree, R. P. R.","2026","Frontiers in Blockchain","suleiman2025agriculture5","3306419","dcb4967d5f38854b65b60a5ec7b3aad8f834c68b93ee242395bfe05bd8489062"
"papers/Smart_agriculture_resource_allocation_and_energy_optimization_using_bidirectional_long_short_term_memory_with_.pdf","reference_bib","10.3389/frcmn.2025.1587402","Smart agriculture resource allocation and energy optimization using bidirectional long short-term memory with ant colony optimization (Bi-LSTM--ACO)","Rathi, M. and Gomathy, C.","2025","Frontiers in Communications and Networks","labor2025smartplantation","1707483","a3d6716ff63a60807970419068e579b869f0cef7a94f0dc90791b0454085b8c0"
"papers/Supply_Chain_Transparency_Exploring_Blockchain_Solutions_for_Enhanced_Traceability_and_Efficiency.pdf","supplemental_related_oa","","Supply Chain Transparency Exploring Blockchain Solutions for Enhanced Traceability and Efficiency","","","","related OA search","381114","ce6a44ba84197f703e96bb3576469fd96233351e471056067c80fb3b4f403653"
"papers/Techniques_to_improve_5G_blockchain_scalability_issues_through_an_analysis_of_a_blockchain_scalability.pdf","supplemental_related_oa","10.59461/ijdiic.v3i4.134","Techniques to improve 5G blockchain scalability issues through an analysis of a blockchain scalability","Umar Danjuma Maiwada; Muhammad Muntassir Yakubu; Abubakar Danjuma Maiwada; Jameel Shehu Yalli; Izaddeen Kabir Yakasai","2024","International Journal of Data Informatics and Intelligent Computing","related OA search","1173685","5cf8939d334b807e95c69a4a62266c655d80983f30c9b0df9ff390552e3b26c1"
"papers/The_Emerging_Role_of_Blockchain_Technology_Applications_in_Routine_Disease_Surveillance_Systems_to_Strengthen_.pdf","cited_in_manuscripts","10.3390/bdcc3020025","The Emerging Role of Blockchain Technology Applications in Routine Disease Surveillance Systems to Strengthen Global Health Security","Vijay Kumar Chattu; Anjali Nanda; Soosanna Kumary Chattu; Syed Manzoor Kadri; Andy W Knight","2019","Big Data and Cognitive Computing","Enhancing_Bitcoin_Scalability_through_Parallel_Programming_and_Chinese","1281831","ef00876a3c55c4320aa10d94cff170f32fe0382d73874283697033ea90419e1a"
"papers/The_Future_of_Food.pdf","prior_related","10.3390/foods13040506","The Future of Food","Charis M. Galanakis","2024","Foods","Recommended via topic search: blockchain smart agriculture IoT traceability","1418521","40a4fa1546842ba1e8fd9dd1b1c3541da7f575a371c184d61c3592e72d6ce106"
"papers/The_Rise_of_Blockchain_Technology_in_Agriculture_and_Food_Supply_Chains.pdf","reference_bib","10.1016/j.tifs.2019.07.034","The Rise of Blockchain Technology in Agriculture and Food Supply Chains","Kamilaris, Andreas and Fonts, Agusti and Prenafeta-Bold\'u, Francesc X.","2019","Trends in Food Science \& Technology","xu2019survey","816138","b83a6bb8c04ccade3f641d5e33f15a158ff9c65aca728efa2b8d28807dbad26d"
"papers/The_Role_of_Blockchain_Technology_in_Promoting_Traceability_Systems_in_Agri_Food_Production_and_Supply_Chains.pdf","reference_bib","10.3390/s23115342","The Role of Blockchain Technology in Promoting Traceability Systems in Agri-Food Production and Supply Chains","Bosona, Techane and Gebresenbet, Girma","2023","Sensors","oh2025foodsafety","1110130","43300fd1892b99deacd1dd9a32c0553c5904a007717b09d084d38b98a0f56ba7"
"papers/Transforming_Healthcare_Data_Management_A_Blockchain_Based_Cloud_EHR_System_for_Enhanced_Security_and_Int.pdf","supplemental_related_oa","","Transforming Healthcare Data Management A Blockchain Based Cloud EHR System for Enhanced Security and Int","","","","related OA search","576468","d07e69d5f998d33947639c97318869cd705fd3d573a11546b2dca62a985b2240"
"papers/Understanding_the_limits_of_LoRaWAN.pdf","reference_bib","10.1109/mcom.2017.1600613","Understanding the limits of LoRaWAN","Adelantado, Ferran and Vilajosana, Xavier and Tuset-Peiro, Pere and Martinez, Borja and Melia-Segui, Joan and Watteyne, Thomas","2017","IEEE Communications Magazine","adelantado2017understanding","226913","8b30bb549f52731beff49664740713b2f5dcb96c09635e078261ad141fea12da"
"papers/Unlocking_Blockchain_UTXO_Transactional_Patterns_and_Their_Effect_on_Storage_and_Throughput_Trade_Offs.pdf","cited_in_manuscripts","10.3390/computers13060146","Unlocking Blockchain UTXO Transactional Patterns and Their Effect on Storage and Throughput Trade-Offs","David Melo; Saúl Eduardo Pomares-Hernández; Lil María Xibai Rodríguez-Henríquez; Julio César Pérez-Sansalvador","2024","Computers","Enhancing_Bitcoin_Scalability_through_Parallel_Programming_and_Chinese","808305","e1cea73a31a41c5f7b5c82ec0e65609072218feef713ba05d0000fb72bd982cd"
"papers/Using_Blockchain_for_Electronic_Health_Records.pdf","cited_in_manuscripts","10.1109/access.2019.2946373","Using Blockchain for Electronic Health Records","Ayesha Shahnaz; Usman Qamar; Ayesha Khalid","2019","IEEE Access","Enhancing_Bitcoin_Scalability_through_Parallel_Programming_and_Chinese","4872269","2a1f5d81cfc4245046adb1d662e39d9a2e4ef0decc4f946807552e225f2916f2"
"papers/Using_Deep_Learning_for_Image_Based_Plant_Disease_Detection.pdf","reference_bib","10.3389/fpls.2016.01419","Using deep learning for image-based plant disease detection","Mohanty, Sharada P. and Hughes, David P. and Salathé, Marcel","2016","Frontiers in Plant Science","mohanty2016using","3260684","151ce25d20f26400993ccb2d58a6444cd40453c74d9725a3973a3a857371e532"
"papers/Voice_Biometrics_and_Blockchain_Secure_Interoperable_Data_Exchange_for_Healthcare.pdf","supplemental_related_oa","","Voice Biometrics and Blockchain Secure Interoperable Data Exchange for Healthcare","","","","related OA search","287952","4fe72112ff70d3c6581507dd1dfe5fa9e1c6f4568b84af8761457cd83c3604e7"
