key,title,authors,year,venue,doi,status,oa_status,reason,oa_pdf_url,notes
"shanhong2021water","An IoT based smart irrigation management system using Machine learning and open source technologies","Goap, Amarendra and Sharma, Dinesh and Shukla, A. K. and Rama Krishna, C.","2018","Computers and Electronics in Agriculture","10.1016/j.compag.2018.09.040","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"chatterjee2023precision","Digital twins in smart farming","Verdouw, Cor and Tekinerdogan, Bedir and Beulens, Adrie and Wolfert, Sjaak","2021","Agricultural Systems","10.1016/j.agsy.2020.103046","matched","hybrid","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","https://www.sciencedirect.com/science/article/pii/S0308521X20309070/pdf","OA location did not return a PDF"
"gondchawar2016agriculture4","IOT Based Smart Agriculture","Gondchawar, Nikesh and Kawitkar, R. S.","2016","International Journal of Advanced Research in Computer and Communication Engineering","10.37255/jme.v16i3pp077-081","matched","diamond","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","https://smenec.org/index.php/1/article/download/319/285","OA location did not return a PDF"
"liu2024blockchainwater","A blockchain- and self-sovereign identity-based collaborative framework for secure and verifiable cross-organizational data sharing in smart irrigation","Amraouy, Okacha and Benbrahim, Mohammed and Kabbaj, Mohammed Nabil","2025","Smart Agricultural Technology","10.1016/j.atech.2025.101654","matched","gold","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","","Open-access landing page found, but no direct PDF URL"
"tia2020waterstress","Challenges to Manage the Risk of Water Scarcity and Climate Change in the Mediterranean","Iglesias, Ana and Garrote, Luis and Flores, Francisco and Moneo, Mercedes","2007","Water Resources Management","10.1007/s11269-006-9111-6","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"benali2024tunisiaWater","Agriculture sustainability in arid lands of southern Tunisia: Ecological impacts of irrigation water quality and human practices","Dhaouadi, Latifa and Besser, Houda and Wassar, Fatma","2020","Irrigation and Drainage","10.1002/ird.2492","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"khan2021fabricCRT","Residue Number System-based Approach to Minimise Energy Consumption in Wireless Sensor Networks","Rahman, Md Atiqur and Hamzah, Faisal and Safdar, Ghazanfar Ali","2022","IEEE Access","10.1109/access.2022.3146851","matched","diamond","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","https://journalajrcos.com/index.php/AJRCOS/article/download/291/581","OA location did not return a PDF"
"salmi2020rsa","A novel user authentication and key agreement scheme for heterogeneous ad hoc wireless sensor networks, based on the Internet of Things notion","Turkanovi\'c, Muhamed and Brumen, Bo\vstjan and H\""olbl, Marko","2014","Ad Hoc Networks","10.1016/j.adhoc.2014.03.009","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"sharma2018merkle","Block-VN: A Distributed Blockchain Based Vehicular Network Architecture in Smart City","Sharma, Pradip Kumar and Moon, Seo Yeon and Park, Jong Hyuk","2017","JIPS: Journal of Information Processing Systems","10.3745/jips.04.0022","matched","diamond","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","http://jips-k.org/journals/jips/digital-library/manuscript/file/22701/JIPS-2016-12-1-100.pdf","OA PDF download failed"
"marjanovic2024traceability","A blockchain- and self-sovereign identity-based collaborative framework for secure and verifiable cross-organizational data sharing in smart irrigation","Amraouy, Okacha and Benbrahim, Mohammed and Kabbaj, Mohammed Nabil","2025","Smart Agricultural Technology","10.1016/j.atech.2025.101654","matched","gold","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","","Open-access landing page found, but no direct PDF URL"
"zhao2023smartcontracts","A systematic review of blockchain technology for agriculture supply chain management","Rama, R. and Kanchana, V. and Sivasankari, N. and Prabha, S.","2021","Materials Today: Proceedings","10.1016/j.matpr.2021.06.253","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"williams2022savings","A review on monitoring and advanced control strategies for precision irrigation","Abioye, Emmanuel Abiodun and Abidin, Mohammad Shukri Zainal and Mahmud, Mohd Saiful Azimi and Buyamin, Salinda and Ishak, Mohamad Hafis Izran and Rahman, Muhammad Khairie Idham Abd and Otuoze, Abdulrahaman Okino and Onotu, Patrick and Ramli, Muhammad Shahrul Azwan","2020","Computers and Electronics in Agriculture","10.1016/j.compag.2020.105441","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"garrido2018mediterranean","Adaptation strategies for agricultural water management under climate change in Europe","Iglesias, Ana and Garrote, Luis","2015","Agricultural Water Management","10.1016/j.agwat.2015.03.014","matched","hybrid","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","","Open-access landing page found, but no direct PDF URL"
"adeloye2021tunisiaAgro","Deficit irrigation for reducing agricultural water use","Fereres, Elias and Soriano, Mar\'ia Auxiliadora","2007","Journal of Experimental Botany","10.1093/jxb/erl165","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"owusu2025iotAgri","Blockchain-Empowered H-CPS Architecture for Smart Agriculture","Wang, Xiaoding and Wu, Qibin and Zeng, Haitao and Yang, Xu and Cui, Hui and Yi, Xun and Piran, Md Jalil and Luo, Ming and Que, Youxiong","2025","Advanced Science","10.1002/advs.202503102","matched","open","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002/advs.202503102","OA location did not return a PDF"
"rahman2019agriSecurity","Evaluating Critical Security Issues of the IoT World: Present and Future Challenges","Frustaci, Mario and Pace, Pasquale and Aloi, Gianluca and Fortino, Giancarlo","2018","IEEE Internet of Things Journal","10.1109/jiot.2017.2767291","matched","green","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","","Open-access landing page found, but no direct PDF URL"
"arshad2022blockchainBenefits","A review of wireless sensors and networks' applications in agriculture","Aqeel-ur-Rehman and Abbasi, Asad Ullah and Islam, Nizar and Shaikh, Zubair Ahmed","2014","Computer Standards \& Interfaces","10.1016/j.csi.2011.03.004","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"fernandez2024iotTamper","A Digital Signature Based on a Conventional Encryption Function","Merkle, Ralph C.","1988","Lecture Notes in Computer Science","10.1007/3-540-48184-2_32","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"jayaram2023hyperledger","Hyperledger Fabric: A Distributed Operating System for Permissioned Blockchains","Androulaki, Elli and Barger, Artem and Bortnikov, Vita and Cachin, Christian and Christidis, Konstantinos and De Caro, Angelo and Enyeart, David and Ferris, Christopher and Laventman, Gennady and Manevich, Yacov and Muralidharan, Srinivasan and Murthy, Chet and Nguyen, Binh and Sethi, Manish and Singh, Gari and Smith, Keith and Sorniotti, Alessandro and Stathakopoulou, Chrysoula and Vukoli\'c, Marko and Cocco, Sharon Weed and Yellick, Jason","2018","Proceedings of the 13th EuroSys Conference","10.1145/3190508.3190538","matched","gold","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","https://dl.acm.org/doi/pdf/10.1145/3190508.3190538","OA location did not return a PDF"
"yang2021iotSensing","Internet of Things in agriculture, recent advances and future challenges","Tzounis, Antonis and Katsoulas, Nikolaos and Bartzanas, Thomas and Kittas, Constantinos","2017","Biosystems Engineering","10.1016/j.biosystemseng.2017.09.007","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"saito2025blockchainWaterQuality","Distributed Control Architecture for Blockchain-Based IoT Water Quality Monitoring","Hung, Le Thanh and Kang, Seungwoo and Song, Jaeseung","2022","IEEE Access","10.1109/access.2022.3208440","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"garcia2021sensorFailures","Integration of Cloud computing and Internet of Things: A survey","Botta, Alessio and de Donato, Walter and Persico, Valerio and Pescap\'e, Antonio","2016","Future Generation Computer Systems","10.1016/j.future.2015.09.021","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"wei2024autonomousIrrigation","Advanced process control of irrigation: the current state and an analysis to aid future development","McCarthy, A. C. and Hancock, N. H. and Raine, S. R.","2013","Irrigation Science","10.1007/s00271-011-0313-1","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"liu2021traceableSupply","Blockchain for agriculture and food: Findings from the pilot study","Ge, Li and Brewster, Christopher and Spek, Jacco and Smeenk, Anton and Top, Jan","2017","Wageningen Economic Research Report","10.18174/426747","matched","gold","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","http://library.wur.nl/WebQuery/wurpubs/fulltext/426747","OA PDF download failed"
"miller2020climateImpact","The irrigation of agricultural land in Italy: main economic implications and effects in an ongoing climate change","Dono, Gabriele and Giraldo, Luca and Severini, Simone","2010","Agricultural Water Management","10.1016/j.agwat.2010.01.025","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"debruyne2022trust","A systematic literature review of blockchain-based applications: Current status, classification and open issues","Casino, Fran and Dasaklis, Thomas K. and Patsakis, Constantinos","2019","Telematics and Informatics","10.1016/j.tele.2018.11.006","matched","hybrid","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","https://www.sciencedirect.com/science/article/pii/S0736585318306324/pdf","OA location did not return a PDF"
"akhtar2019sensingAccuracy","Evaluation of Standard Calibration Functions for Eight Electromagnetic Soil Moisture Sensors","Vaz, Carlos M. P. and Jones, Scott and Meding, Mace and Tuller, Markus","2013","Vadose Zone Journal","10.2136/vzj2012.0160","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"wen2025cropYield","Optimal model-based deficit irrigation scheduling using AquaCrop: A simulation study with cotton, potato and tomato","Linker, Raphael and Ioslovich, Ilya and Sylaios, Georgios and Plauborg, Finn and Battilani, Antonio","2016","Agricultural Water Management","10.1016/j.agwat.2015.09.011","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"pinto2024throughput","FastFabric: Scaling Hyperledger Fabric to 20,000 Transactions per Second","Gorenflo, Christian and Lee, Stephen and Golab, Lukasz and Keshav, Srinivasan","2020","International Journal of Network Management","10.1002/nem.2099","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"lopez2023remoteFailure","Design and Implementation of an Integrated IoT Blockchain Platform for Sensing Data Integrity","Hang, Lei and Kim, Do-Hyeun","2019","Sensors","10.3390/s19102228","matched","gold","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","","Open-access landing page found, but no direct PDF URL"
"nguyen2022smartFarmingSC","An agri-food supply chain traceability system for China based on RFID \& blockchain technology","Tian, Feng","2016","2016 International Conference on Service Systems and Service Management","10.1109/icsssm.2016.7538424","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"bashir2023IoTWear","Agri-food 4.0: A survey of the supply chains and technologies for the future agriculture","Lezoche, Mario and Hernandez, Jorge E. and Diaz, Maria del Mar E. Alemany and Panetto, Herv\'e and Kacprzyk, Janusz","2020","Computers in Industry","10.1016/j.compind.2020.103187","matched","bronze","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","https://www.sciencedirect.com/science/article/am/pii/S0166361519307584","OA location did not return a PDF"
"amada2025waterDemand","Constraints and potentials of future irrigation water availability on agricultural production under climate change","Elliott, Joshua and Deryng, Delphine and M\""uller, Christoph and Frieler, Katja and Konzmann, Markus and Gerten, Dieter and Glotter, Michael and Fl\""orke, Martina and Wada, Yoshihide and Best, Neil and Eisner, Stephanie and Fekete, Bal\'azs M. and Folberth, Christian and Foster, Ian and Gosling, Simon N. and Haddeland, Ingjerd and Khabarov, Nikolay and Ludwig, Fulco and Masaki, Yoshimitsu and Olin, Stefan and Rosenzweig, Cynthia and Ruane, Alex C. and Satoh, Yusuke and Schmid, Erwin and Stacke, Tobias and Tang, Qiuhong and Wisser, Dominik","2014","Proceedings of the National Academy of Sciences","10.1073/pnas.1222474110","matched","bronze","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","https://www.pnas.org/content/pnas/111/9/3239.full.pdf","OA location did not return a PDF"
"zhu2017blockchainAgri","A Supply Chain Traceability System for Food Safety Based on HACCP, Blockchain \& Internet of Things","Tian, Feng","2017","2017 International Conference on Service Systems and Service Management","10.1109/icsssm.2017.7996119","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"jiang2024secureIPFS","Decentralized document version control using ethereum blockchain and IPFS","Nizamuddin, Nishara and Salah, Khaled and Azad, M. A. and Arshad, Junaid and Rehman, M. H.","2019","Computers \& Electrical Engineering","10.1016/j.compeleceng.2019.03.014","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"djeddi2025parallelCRT","RESIDENT: A Reliable Residue Number System-Based Data Transmission Mechanism for Wireless Sensor Networks","Ye, Rong and Boukerche, Azzedine and Wang, Hangguan and Zhou, Xianwei and Yan, Bo","2018","Wireless Networks","10.1007/s11276-016-1357-1","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"akande2018iotChallenges","Sustainable Industry 4.0 framework: A systematic literature review identifying the current trends and future perspectives","Kamble, Sachin S. and Gunasekaran, Angappa and Gawankar, Shradha A.","2018","Process Safety and Environmental Protection","10.1016/j.psep.2018.05.009","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"rahimi2023fabricSensors","Performance Modeling of PBFT Consensus Process for Permissioned Blockchain Network (Hyperledger Fabric)","Sukhwani, Harish and Martinez, Jose M. and Chang, Xuemei and Trivedi, Kishor S. and Rindos, Andy","2017","2017 IEEE 36th Symposium on Reliable Distributed Systems (SRDS)","10.1109/srds.2017.36","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"brooks2019precisionWater","Irrigation management under water scarcity","Pereira, Luis Santos and Oweis, Theib and Zairi, Akissa","2002","Agricultural Water Management","10.1016/s0378-3774(02)00075-6","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"mohamed2024cropQuality","Sensor-Based Model Driven Control Strategy for Precision Irrigation","Lozoya, Cecilio and Mendoza, Carlos and Aguilar, Antonio and Flores, Arturo and Salido, Marco","2016","Journal of Sensors","10.1155/2016/9784071","matched","hybrid","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","http://downloads.hindawi.com/journals/js/2016/9784071.pdf","OA PDF download failed"
"green2022irrigationDemand","Improved indicators of water use performance and productivity for sustainable water conservation and saving","Pereira, Luis Santos and Cordery, Ian and Iacovides, Iacovos","2012","Agricultural Water Management","10.1016/j.agwat.2011.08.022","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"ahmad2025agriBlockchain","Efficient productivity prediction model based on edge data compression in smart farms","Jin, Peng and Du, Wenshuang and Jin, Wenquan","2025","Smart Agricultural Technology","10.1016/j.atech.2025.101242","matched","gold","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","","Open-access landing page found, but no direct PDF URL"
"ding1996chinese","The Chinese remainder theorem","Ding, Cunsheng and Pei, Dingyi and Salomaa, Arto","1996","Applications of the Chinese Remainder Theorem","10.1201/b17673-23","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"knuth1997art","The art of computer programming, volume 2: Seminumerical algorithms","Knuth, Donald E","1997","Addison-Wesley Professional","10.2307/2317055","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"hardy2008introduction","An introduction to the theory of numbers","Hardy, Godfrey Harold and Wright, Edward Maitland and Heath-Brown, Roger and Silverman, Joseph","2008","Oxford University Press","10.1016/0016-0032(60)90676-1","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"menezes1996handbook","Handbook of applied cryptography","Menezes, Alfred J and Van Oorschot, Paul C and Vanstone, Scott A","1996","CRC press","10.5860/choice.34-4512","matched","green","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","","Open-access landing page found, but no direct PDF URL"
"shoup2009computational","A computational introduction to number theory and algebra","Shoup, Victor","2009","Cambridge University Press","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"ziv1977universal","A universal algorithm for sequential data compression","Ziv, Jacob and Lempel, Abraham","1977","IEEE Transactions on Information Theory","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"huffman1952method","A method for the construction of minimum-redundancy codes","Huffman, David A","1952","Proceedings of the IRE","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"salomon2007data","Data compression: the complete reference","Salomon, David","2007","Springer Science \& Business Media","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"gubbi2013internet","Internet of Things (IoT): A vision, architectural elements, and future directions","Gubbi, Jayavardhana and Buyya, Rajkumar and Marusic, Slaven and Palaniswami, Marimuthu","2013","Future generation computer systems","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"christidis2016blockchain","Blockchains and smart contracts for the internet of things","Christidis, Konstantinos and Devetsikiotis, Michael","2016","IEEE Access","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"semtech2015lorawan","LoRa Modem Designer's Guide","Semtech Corporation","2015","","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"sheng2006comparison","A comparison of data compression algorithms for wireless sensor networks","Sheng, Bin and Li, Qun and Mao, Wenbo","2006","2006 IEEE International Conference on Communications","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"barr1994energy","Energy consumption and bandwidth in wireless sensor networks","Barr, K. C. and Asanovic, K.","2004","IEEE Micro","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"polastre2005versatile","Versatile low power media access for wireless sensor networks","Polastre, Joseph and Hill, Jason and Culler, David","2004","Proceedings of the 2nd international conference on Embedded networked sensor systems","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"yavari2020blockchain","An Improved Blockchain-Based Authentication Protocol for IoT Network Management","Yavari, Mostafa and Safkhani, Masoumeh and Kumari, Saru and Kumar, Sachin and Chen, Chien-Ming","2020","Security and Communication Networks","10.1155/2020/8875217","matched","hybrid","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","https://downloads.hindawi.com/journals/bmri/2020/8875217.pdf","OA location did not return a PDF"
"kalaimathi2025injection","Identifying False Injection Packet Transmission using SVM and Secure OLSR in Wireless Sensor Networks","Kalaimathi, R. and Yogeshwaran, A. and Rajeswari, P.","2025","4th International Conference on Distributed Computing and Electrical Circuits and Electronics (ICDCECE)","10.1109/icdcece65353.2025.11035330","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"kumari2025rom","Building Trust in IoT Networks: A ROM-Based Key Storage and Cloud Signature Verification Approach","Kumari, Saru and Singh, Rajeev and Kumar, Amit","2025","2025 IEEE International Conference on Internet of Things (iThings)","10.1109/iot.2025.11089136","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"csdn_esp32s3_cache","ESP32S3 Cache block diagram and operations","Cris Jay","2025","","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"esp_hal_cache","Cache Management and Memory Barriers: esp-hal Documentation","esp-rs Project","2025","","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"brewer2000towards","Towards robust distributed systems","Brewer, Eric A.","2000","Proceedings of the 19th Annual ACM Symposium on Principles of Distributed Computing (PODC)","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"gilbert2002brewer","Brewer's conjecture and the feasibility of consistent, available, partition-tolerant web services","Gilbert, Seth and Lynch, Nancy","2002","ACM SIGACT News","10.1145/564585.564601","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"pritchett2008base","BASE: An ACID alternative","Pritchett, Dan","2008","Queue","10.1145/1394127.1394128","matched","bronze","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","https://dl.acm.org/doi/pdf/10.1145/1394127.1394128","OA location did not return a PDF"
"ongaro2014raft","In search of an understandable consensus algorithm","Ongaro, Diego and Ousterhout, John","2014","USENIX Annual Technical Conference","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"castro1999practical","Practical Byzantine fault tolerance","Castro, Miguel and Liskov, Barbara","1999","Proceedings of the Third Symposium on Operating Systems Design and Implementation (OSDI)","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"yin2019hotstuff","HotStuff: BFT consensus with linearity and responsiveness","Yin, Maofan and Malkhi, Dahlia and Reiter, Michael K. and Gueta, Guy Golan and Abraham, Ittai","2019","Proceedings of the 2019 ACM Symposium on Principles of Distributed Computing (PODC)","10.1145/3293611.3331591","matched","gold","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","https://dl.acm.org/doi/pdf/10.1145/3293611.3331591","OA location did not return a PDF"
"bessani2014state","State machine replication for the masses with BFT-SMART","Bessani, Alysson and Sousa, Jo\~ao and Alchieri, Eduardo E.","2014","IEEE/IFIP International Conference on Dependable Systems and Networks (DSN)","10.1109/dsn.2014.43","matched","green","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","","Open-access landing page found, but no direct PDF URL"
"gonzalez2000energy","Energy and delay: A metric for early design space exploration","Gonzalez, R. and Horowitz, M.","2000","IEEE Micro","10.1109/40.877952","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"lzw_dictionary_size","What if Dictionary size in LZW algorithm is full?","Stack Overflow Community","2016","","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"lu2022revocation","Reducing Revocation Latency in IoV using Edge Computing and Permissioned Blockchain","Lu, Zhihua and Wang, Wei and Zhang, Xiaoyu and Chen, Lin","2022","2022 IEEE International Conference on Blockchain (Blockchain)","10.1109/blockchain55522.2022.00055","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"hyperledger2022msp","MSP Identity Validity Rules","Hyperledger Fabric Documentation","2022","","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"beloa2025bitcoincrt","Enhancing Bitcoin Scalability through Parallel Programming and Chinese Remainder Theorem Optimization with Applications in Agriculture and Healthcare","Beloa, Forcha Glen","2025","","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"beloasone2025hrbac","A Decentralized Hierarchical Role-Based Access Control Framework for Agricultural Edge Internet of Things: Design, Implementation, and 61-Day Field Evaluation","Beloa, Forcha Glen and Sone, Michael Ekonde and Tagne, Elie Fute and Mvogo Asse, Andr\'e Paul","2025","","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
